tvdbId,Name,Service(s)
368611,Moon Knight,Disney+
368612,Ms. Marvel,Disney+
367146,Hawkeye (2021),Disney+
362392,WandaVision,Disney+
281662,Marvel's Daredevil,Netflix
361753,The Mandalorian,Disney+
284190,Marvel's Jessica Jones,Netflix
320558,Marvel's Inhumans,ABC (US)
332027,Marvel's Runaways,Hulu
263365,Marvel's Agents of S.H.I.E.L.D.,ABC (US)
331980,Marvel's The Punisher,Netflix
304219,Marvel's Luke Cage,Netflix
368613,She-Hulk: Attorney at Law,Disney+
80747,The Gadget Show,Channel 5 (UK)
377114,Gossip Girl (2021),HBO Max
355567,The Boys,Amazon Prime Video
270915,Peaky Blinders,BBC One
366524,Halo,Paramount+
305288,Stranger Things,Netflix
295685,Lucifer,Netflix
351504,Good Trouble,Freeform
257655,Arrow,The CW
279121,The Flash (2014),The CW
248736,Grimm,NBC
248835,Once Upon a Time (2011),ABC (US)
78901,Supernatural,The CW
349317,Charmed (2018),The CW
336924,You,Netflix
267259,Witches of East End,Lifetime
83123,Merlin,BBC One
311954,Riverdale,The CW
338947,Chilling Adventures of Sabrina,Netflix
356317,Sex Education,Netflix
353764,The Umbrella Academy,Netflix
368185,Fate: The Winx Saga,Netflix
368166,Resident Alien,Syfy
73141,American Dad!,TBS
83268,Star Wars: The Clone Wars,Disney+
283468,Star Wars Rebels,Disney XD
385376,Star Wars: The Bad Batch,Disney+
368211,Upload,Amazon Prime Video
146711,Pretty Little Liars,Freeform
268591,The Tomorrow People (US),The CW
361594,Locke & Key,Netflix
295648,Superstore,NBC
311711,The Good Place,NBC
79168,Friends,NBC
361563,The Morning Show,Apple TV+
343253,Lost in Space (2018),Netflix
262980,House of Cards (US),Netflix
325925,The F Word (US),FOX
74897,Hell's Kitchen (US),FOX
80552,Kitchen Nightmares (US),FOX
73244,The Office (US),NBC
74543,Entourage,HBO
247808,Suits,USA Network
163851,No Ordinary Family,ABC (US)
361857,Dead to Me,Netflix
360261,Euphoria (US),HBO
393589,The Book of Boba Fett,Disney+
393199,Obi-Wan Kenobi,Disney+
368120,Amazing Stories (2020),Apple TV+
401998,Black Bird,Apple TV+
368121,Central Park,Apple TV+
396362,Dr. Brain,Apple TV+
366972,Foundation (2021),Apple TV+
379326,Home (2020),Apple TV+
362829,Mythic Quest,Apple TV+
418505,Prehistoric Planet (2022),Apple TV+
371980,Severance,Apple TV+
383203,Ted Lasso,Apple TV+
387542,Tiny World,Apple TV+
374117,"Sex, Explained",Netflix
401387,"Money, Explained",Netflix
368970,"The Mind, Explained",Netflix
347903,Explained,Netflix
380915,"Coronavirus, Explained",Netflix
289590,Mr. Robot,USA Network
368667,Space Force,Netflix
212961,Hell on Wheels,AMC
291526,"10,000 BC",Channel 5 (UK)
187071,An Idiot Abroad,Sky1
74205,Band of Brothers,HBO
331431,Big Mouth,Netflix
279536,Billions,Showtime
75978,Family Guy,FOX
73871,Futurama,Hulu
121361,Game of Thrones,HBO
80547,Gossip Girl,The CW
80485,Last Man Standing (2007),BBC Three
295743,Limitless,CBS
296669,Love Island,ITV2
70851,Stargate Atlantis,Syfy
339552,Stargate Origins,
72449,Stargate SG-1,Syfy
83237,Stargate Universe,Syfy
164091,Terra Nova,FOX
272391,The Moaning of Life,Sky1
328487,The Orville,Hulu
85539,The Pacific,HBO
108611,White Collar,USA Network
95011,Modern Family,ABC (US)
269586,Brooklyn Nine-Nine,NBC
78050,Bottom,BBC Two
275274,Rick and Morty,Adult Swim
399917,The Terminal List,Amazon Prime Video
371572,House of the Dragon,HBO
367506,The Lord of the Rings: The Rings of Power,Amazon Prime Video
367392,The Old Man,FX
361585,Blood & Treasure,Paramount+
362696,The Witcher,Netflix
83141,Evolve,History
363955,Evil,Paramount+
315908,Kim's Convenience,CBC (CA)
342818,Miracle Workers (2019),TBS
387525,Resident Evil,Netflix
296762,Westworld,HBO
153021,The Walking Dead,AMC
260449,Vikings,History (CA)
332858,Cobra Kai,Netflix
382389,Star Trek: Strange New Worlds,Paramount+
328724,Young Sheldon,CBS
266189,The Blacklist,NBC
281630,Scorpion,CBS
372700,Vikings: Valhalla,Netflix
259972,Gravity Falls,Disney XD
298566,The Last Kingdom,Netflix
418549,The Quest (2022),Disney+
357888,"Love, Death & Robots",Netflix
362496,The Falcon and The Winter Soldier,Disney+
73739,Lost,ABC (US)
366668,Bridgerton,Netflix
264492,Under the Dome,CBS
304968,Walking the Himalayas,Channel 4
411461,Harry Potter: Hogwarts Tournament of Houses,Salto
253463,Black Mirror,Netflix
402621,Moonhaven,AMC+
292174,Dark Matter,Syfy
258823,Revolution,NBC
256227,The Newsroom (2012),HBO
